source_bundle,source_name,source_url,citation,license_note,verification_status
statcan_after_tax_gini,Statistics Canada after-tax Gini,https://www150.statcan.gc.ca/n1/en/type/data,Statistics Canada table 11-10-0134,Official Statistics Canada table.,tested_ready
statistik_tirol_silc_2022_equiv_income_gini_html,Austria EU-SILC 2022 regional Gini,https://statistik.tirol.gv.at/silc_2022/index.html,Statistik Tirol EU-SILC 2022 regional tables based on Statistics Austria data,Official regional statistics HTML table; uses equivalised household income after social transfers.,implemented_html_table_extraction
gdl_shdi_lgnic_lifexp_v9,Global Data Lab Subnational Human Development Database v9.0,https://globaldatalab.org/shdi/download_files/,"Global Data Lab, Subnational Human Development Database v9.0.",Public research download; income is lgnic and is labelled as an income proxy in this atlas.,implemented_proxy_observed
gdl_wealth_iwi_gini_public_table,Global Data Lab Area Database of the Global Data Lab - IWI Gini table,https://globaldatalab.org/wealth/table/gini/,"Global Data Lab, Area Database of the Global Data Lab, IWI Gini table.",Public table endpoint; IWI/wealth inequality is not disposable-income Gini and is labelled as a proxy.,implemented_experimental_proxy
oecd_tl2_s80s20_income_proxy_calibrated,OECD regional income inequality S80/S20,"https://sdmx.oecd.org/public/rest/v1/data/OECD.CFE.EDS,DSD_REG_SOC@DF_INCOME_INEQ/.A.TL2..S80S20_INC_DISP._Z._T.FCTR","OECD Regional Social and Demographic Statistics, regional S80/S20 disposable income ratio.",S80/S20 is calibrated to observed regional Gini before use and remains labelled as an inequality proxy.,implemented_experimental_proxy_if_calibration_passes
aihw_abds_2018_state_territory_hale_pdf_table,AIHW Australian Burden of Disease Study 2018 state and territory HALE table,https://www.aihw.gov.au/reports/burden-of-disease/abds-impact-and-causes-of-illness-and-death-in-aus,"Australian Institute of Health and Welfare (2021), Australian Burden of Disease Study: impact and causes of illness and death in Australia 2018, Appendix Table D3.",Public AIHW report table; all-sex HALE is approximated as the arithmetic mean of male and female HALE at birth because Table D3 reports sex-specific values.,implemented_observed_hale_proxy_2018_only
aus_abs_sih_2019_20_state_equivalised_disposable_income_gini,ABS Household Income and Wealth state/territory income-distribution data cube,https://www.abs.gov.au/statistics/economy/finance/household-income-and-wealth-australia/latest-release,"Australian Bureau of Statistics, Household Income and Wealth, Australia, 2019-20, data cube 13, States and territories, Table 13.1.",ABS public data cube; atlas uses 2019-20 Gini coefficients for equivalised disposable household income by state/territory and assigns them to atlas year 2020.,implemented_official_observed_gini
statcan_13100971_hale_province_territory,Statistics Canada Table 13-10-0971-01 health-adjusted life expectancy,https://www150.statcan.gc.ca/n1/daily-quotidien/260109/cg-b004-eng.htm,"Statistics Canada Table 13-10-0971-01, Health-adjusted life expectancy, by sex and income quintile.","Statistics Canada Open Licence; atlas uses at-birth, both-sexes, all-income-groups province/territory HALE rows.",implemented_official_observed_hale
bel_sciensano_hly_age15_region_shiny,Sciensano Belgian health expectancies Shiny download,https://burden.sciensano.be/shiny/healthexpectancies/,"Sciensano Belgian health expectancies dashboard, regional healthy life years by age, sex, and year.","Public dashboard download archived locally; atlas uses age-15 healthy life years, not at-birth HALE, and assigns Flanders/Wallonia values to component NUTS2 provinces with a geography-proxy label.",implemented_age15_hle_proxy
nld_cbs_vso_h7_2022_standardized_disposable_income_gini,"CBS VSO table H7 2022 income inequality by province, municipality, wijk and buurt",https://www.cbs.nl/nl-nl/maatwerk/2025/02/inkomensongelijkheid-naar-wijk-buurt-2022,"Centraal Bureau voor de Statistiek, VSO Tabel H7 2022, Gini-coefficient for provinces, municipalities, districts and neighborhoods based on standardized disposable income.",Official CBS custom XLSX; atlas uses province Gini values for private households excluding student households and joins them to Dutch NUTS2 province rows. Utrecht and Zuid-Holland values are assigned to both old/current NUTS code versions kept in the atlas.,implemented_official_observed_gini
deu_statistikportal_land_income_gini_mikrozensus_2021_2023,Statistikportal Gini coefficient of income distribution by German Land,https://www.statistikportal.de/de/nachhaltigkeit/ergebnisse/ziel-10-weniger-ungleichheiten/gini-koeffizient-zur-einkommensverteilung,"Statistische Ämter des Bundes und der Länder, Nachhaltigkeitsindikatoren, Gini-Koeffizient zur Einkommensverteilung, source Mikrozensus.",Official federal/state statistics HTML table; atlas uses Land-level income Gini for exact German TL2/Land rows and assigns the same Land value to component NUTS2 regions as a labelled geography proxy.,implemented_official_observed_gini_geography_proxy
pol_gus_hle_voivodeship_2009_2024_xlsx,Statistics Poland healthy life expectancy by voivodeship,https://demografia.stat.gov.pl/bazademografia/TrwanieZyciawZdrowiu.aspx,"Statistics Poland Demography Database, healthy life expectancy by voivodeship, sex, age, and year.",Official public XLSX; atlas uses HLY_0 at birth and averages male/female values to create an all-sex HLE proxy for the extended HALE track.,implemented_official_hle_proxy
aut_statistik_at_hle_2019_ods,Statistics Austria life expectancy in subjective good health,https://www.statistik.at/statistiken/bevoelkerung-und-soziales/gesundheit/gesundheitszustand/lebenserwartung-in-gesundheit,"Statistics Austria, life expectancy by health status, federal state, and sex, based on life table 2018 and health survey 2019.",Official public ODS; atlas uses at-birth years in very good/good health and averages male/female values as an all-sex HLE proxy for 2019.,implemented_official_hle_proxy
gbr_ons_health_state_life_expectancy_all_ages_xlsx,"ONS health state life expectancy, all ages, UK",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies/datasets/healthstatelifeexpectancyallagesuk,"Office for National Statistics, Health state life expectancy, all ages, UK.",Open Government Licence v3.0; atlas uses at-birth HLE and averages male/female values by English region or UK constituent country. Three-year periods are assigned to midpoint years.,implemented_official_hle_proxy
ita_istat_bes_region_hle_01sal002,Istat BES regional healthy life expectancy at birth,https://www.istat.it/statistiche-per-temi/focus/benessere-e-sostenibilita/la-misurazione-del-benessere-bes/gli-indicatori-del-bes/,"Istat BES statistical appendix, indicator 01SAL002, Speranza di vita in buona salute alla nascita.","Official Istat public ZIP; atlas uses all-sex regional values, excludes national/macro aggregates, and keeps Bolzano and Trento as separate NUTS2 regions.",implemented_official_hle_proxy
hun_ksh_ege0053_hly_region_csv,Hungarian Central Statistical Office healthy life years by region,https://www.ksh.hu/stadat_files/ege/en/ege0053.html,"Hungarian Central Statistical Office STADAT table 4.1.2.11, Healthy life years by region.",Official public CSV; atlas uses at-birth healthy life years and averages male/female values as an all-sex HLE proxy. Broader Central Hungary is assigned to Budapest and Pest before exact split rows begin.,implemented_official_hle_proxy
esp_sanidad_esperanzas_vida_salud_2023_pdf,Spain Ministry of Health healthy life years by autonomous community,https://www.sanidad.gob.es/estadEstudios/estadisticas/sisInfSanSNS/vidaSaludable.htm,"Ministerio de Sanidad, Esperanzas de vida en España 2023, Table 7.",Official public PDF; atlas uses Table 7 all-sex healthy life years at birth by autonomous community. The combined Ceuta and Melilla row is assigned to both NUTS2 units with a geography-proxy label.,implemented_official_hle_proxy
esp_ine_edad2020_evld_ccaa_table_76921,INE Spain EDAD 2020 disability-free life expectancy by autonomous community,https://www.ine.es/jaxi/Tabla.htm?tpx=76921,"Instituto Nacional de Estadística, EDAD 2020 table 76921, Esperanzas de vida por comunidad autónoma, edad y sexo.","Official INE JSON API; retained as a 2020 fallback health-expectancy proxy, but the Spain Ministry healthy-life-years series is the primary Spain HLE proxy where it overlaps.",verified_fallback_not_used_after_sanidad_primary
sau_gastat_hies_2018_expenditure_gini_pdf_chart,GASTAT Household Income and Expenditure Survey 2018 regional expenditure Gini,https://www.stats.gov.sa/documents/20117/2435259/household_income_and_expenditure_survey_2018_en_27-6-2019.pdf/d3d2b290-74ca-2fa9-0fe4-867e2486d387,"General Authority for Statistics, Household Income and Expenditure Survey 2018, Figure 20.","Official public PDF; values are visually extracted from the chart and grouped to GDL broad regions, so they are labelled as an expenditure-Gini geography proxy.",implemented_experimental_proxy
arg_dnap_province_pbgpc_lexp_gini,Argentina DNAP provincial indicators,https://www.argentina.gob.ar/economia/sechacienda/coordinacion-fiscal-provincial/informacion-economica-provincial/indicadores,"Dirección Nacional de Asuntos Provinciales, Indicadores provinciales: producción, salud, and condiciones de vida workbooks.","Official public XLSX workbooks; PBG per capita is in constant 2004 Argentine pesos, life expectancy is a male/female arithmetic average, and Gini is EPH Total Urbano household per-capita family-income Gini.",implemented_labelled_local_currency_province_ili
lka_dcs_hies_2019_life_tables_2011_2013_district_ili,Sri Lanka DCS HIES 2019 and district life tables 2011-2013,https://www.statistics.gov.lk/IncomeAndExpenditure/,"Department of Census and Statistics Sri Lanka, Household Income and Expenditure Survey 2019 final results; Life Tables for Sri Lanka 2011-2013 by District and Sex.","Official public PDFs; atlas uses district mean monthly household income and household-income Gini for 2019, plus district sex-average life expectancy at birth from 2011-2013.",implemented_labelled_local_currency_district_ili
eu_harmonized_disposable_income_2020+est_stat_th753_county_hle,European harmonized disposable income dataset and Statistics Estonia TH753 county HLE,https://doi.org/10.57745/TTIOKI,Harmonized disposable income dataset for Europe at subnational level; Statistics Estonia PxWeb table TH753.,"European income is per-capita disposable income in 2015 PPP EU27 euros. Estonia county income is population-weighted from municipality rows; county Gini is a population-weighted municipal proxy, not a recomputed county distributional Gini.",implemented_harmonized_income_hle_proxy
tha_bod_le_hale_province_google_sheet+gdl_shdi_lgnic_lifexp_v9,Thailand BOD LE/HALE province sheet aggregated to GDL macro-regions,https://le-hale.bodthai.net/district-province/map.html,Thailand International Health Policy Program / Burden of Disease Thailand LE and HALE 2019-2022 province dashboard; Global Data Lab SHDI v9.0.,Province HALE at birth is aggregated to the existing GDL Thailand macro-regions using an unweighted province mean; monetary input remains GDL lgnic income proxy.,implemented_subnational_hale_grouped_proxy
tha_nso_income_distribution_province_gini+gdl_shdi_lgnic_lifexp_v9,Thailand NSO province income Gini aggregated to GDL macro-regions,https://www.nso.go.th/public/e-book/Analytical-Reports/Income_2564/105/,"Thailand National Statistical Office, Income and Distribution of Households province-level Table 19 for 2019 and 2021; Global Data Lab SHDI v9.0.","Official NSO province Gini coefficients are manually transcribed from public e-book pages and averaged unweighted to the existing GDL macro-regions; this is subnational grouping, not national fan-out.",implemented_observed_gini_grouped_proxy
subnational_expansion_v3_research_dataset,Generated subnational region-year research dataset,downloads/Global_LI_Subnational_Region_Year_Dataset.csv,Generated by scripts/build_subnational_expansion_v3.py from documented project inputs.,Derived dataset; source-specific provenance columns identify upstream sources and limitations.,generated_by_pipeline
