namespace,track,namespace_label,country_code,country_name,region_level,regions,rows,year_min,year_max,latest_li_year,li_rows,ili_rows,hli_rows,ihli_rows,source_bundle,method_flag,quality_flag,evidence_tier,input_method,source_evidence_badges,limitation_note,latest_ili_year,latest_hli_year,latest_ihli_year
arg_dnap_province_v3,official_clean,Argentina / DNAP provinces and CABA,ARG,Argentina,province_caba,24,312,2010,2022,2022.0,312,0,0,0,arg_dnap_province_pbgpc_lexp_gini,dnap_pbgpc_constant_2004_pesos_plus_sex_average_lexp_and_eph_family_income_gini,official_observed_local_currency_pbgpc_sex_average_lexp_total_urbano_gini,official_observed|labelled_local_currency,argentina_dnap_province_ili,official local-currency GDPpc|official LEXP sex-average|observed Gini,"PBG per capita is in constant 2004 Argentine pesos, so values are best interpreted within Argentina rather than as PPP-comparable cross-country levels; life expectancy is the arithmetic average of female and male DNAP values; Gini is EPH Total Urbano household per-capita family-income Gini",,,
gdl_shdi_arg_levelx_v3,modelled_hale_experimental,Argentina urban / GDL SHDI level x,ARG,Argentina urban,gdl_level_x,6,204,1990,2023,2023.0,204,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_arg_levelx_v3,official_clean,Argentina urban / GDL SHDI level x,ARG,Argentina urban,gdl_level_x,6,204,1990,2023,2023.0,204,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_arm_levelx_v3,modelled_hale_experimental,Armenia / GDL SHDI level x,ARM,Armenia,gdl_level_x,11,374,1990,2023,2023.0,374,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_arm_levelx_v3,official_clean,Armenia / GDL SHDI level x,ARM,Armenia,gdl_level_x,11,374,1990,2023,2023.0,374,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_aus_levelx_v3,extended_experimental,Australia / GDL SHDI level x,AUS,Australia,gdl_level_x,8,8,2020,2020,2020.0,8,8,0,0,gdl_shdi_lgnic_lifexp_v9+aus_abs_sih_2019_20_state_equivalised_disposable_income_gini,gdl_lgnic_income_proxy_plus_gdl_lifexp+abs_sih_table_13_1_state_equivalised_disposable_income_gini_assigned_to_2020,proxy_observed_gdl_income_proxy+official_observed_state_income_gini_single_period_2019_20,proxy_observed|official_observed,gdl_shdi_lgnic_lifexp+abs_state_equivalised_disposable_income_gini,GDL income proxy|observed Gini,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy|Gini is the ABS 2019-20 state/territory equivalised disposable household income Gini assigned to atlas year 2020; Table 13.1 excludes very remote households in the Northern Territory.,2020.0,,
gdl_shdi_aus_levelx_v3,modelled_hale_experimental,Australia / GDL SHDI level x,AUS,Australia,gdl_level_x,8,272,1990,2023,2023.0,272,8,8,0,gdl_shdi_lgnic_lifexp_v9|gdl_shdi_lgnic_lifexp_v9+aihw_abds_2018_state_territory_hale_pdf_table|gdl_shdi_lgnic_lifexp_v9+aus_abs_sih_2019_20_state_equivalised_disposable_income_gini,gdl_lgnic_income_proxy_plus_gdl_lifexp|gdl_lgnic_income_proxy_plus_gdl_lifexp+aihw_abds_2018_table_d3_hale_at_birth_sex_average_state_territory_join|gdl_lgnic_income_proxy_plus_gdl_lifexp+abs_sih_table_13_1_state_equivalised_disposable_income_gini_assigned_to_2020,proxy_observed_gdl_income_proxy|proxy_observed_gdl_income_proxy+official_hale_pdf_table_sex_average_proxy_2018_only|proxy_observed_gdl_income_proxy+official_observed_state_income_gini_single_period_2019_20,proxy_observed|proxy_observed|official_observed,gdl_shdi_lgnic_lifexp|gdl_shdi_lgnic_lifexp+aihw_abds_2018_table_d3_hale_at_birth_sex_average_state_territory_join|gdl_shdi_lgnic_lifexp+abs_state_equivalised_disposable_income_gini,GDL income proxy|observed source|HALE proxy|observed Gini,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy|HALE is AIHW 2018 state/territory HALE at birth; all-sex value is the arithmetic mean of male and female HALE and is used for 2018 only|Gini is the ABS 2019-20 state/territory equivalised disposable household income Gini assigned to atlas year 2020; Table 13.1 excludes very remote households in the Northern Territory.,2020.0,2018.0,
gdl_shdi_aus_levelx_v3,official_clean,Australia / GDL SHDI level x,AUS,Australia,gdl_level_x,8,272,1990,2023,2023.0,272,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
eu_nuts2_aut_v1,extended_experimental,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,9,225,2000,2024,2023.0,216,9,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total|eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+statistik_tirol_silc_2022_equiv_income_gini_html,observed_inputs_only|observed_inputs_only+observed_html_table_eusilc_2022_gini_exact_nuts2_join,observed_eurostat_li_no_subnational_gini_hale|observed_eurostat_li_no_subnational_gini_hale+official_regional_silc_2022_after_social_transfers,harmonized_observed,observed_inputs_only|observed_inputs_only+observed_html_table_eusilc_2022_gini_exact_nuts2_join,observed source,inputs use the labelled source family shown in the provenance fields,2022.0,,
eu_nuts2_aut_v1,modelled_hale_experimental,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,9,225,2000,2024,2023.0,216,9,9,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total|eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+aut_statistik_at_hle_2019_ods|eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+statistik_tirol_silc_2022_equiv_income_gini_html,observed_inputs_only|observed_inputs_only+statistik_austria_good_health_life_expectancy_birth_2019_sex_average_exact_nuts2_join|observed_inputs_only+observed_html_table_eusilc_2022_gini_exact_nuts2_join,observed_eurostat_li_no_subnational_gini_hale|observed_eurostat_li_no_subnational_gini_hale+official_hle_subjective_good_health_sex_average_proxy_2019_only|observed_eurostat_li_no_subnational_gini_hale+official_regional_silc_2022_after_social_transfers,harmonized_observed|harmonized_observed|official_observed|proxy_observed,observed_inputs_only|observed_inputs_only+statistik_austria_good_health_life_expectancy_birth_2019_sex_average_exact_nuts2_join|observed_inputs_only+observed_html_table_eusilc_2022_gini_exact_nuts2_join,observed source|HLE proxy|sex-average proxy,inputs use the labelled source family shown in the provenance fields|HLE is Statistics Austria years in very good/good health at birth by federal state; all-sex value is the arithmetic mean of female and male values for 2019,2022.0,2019.0,
eu_nuts2_aut_v1,official_clean,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,9,225,2000,2024,2023.0,216,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total|eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+statistik_tirol_silc_2022_equiv_income_gini_html,observed_inputs_only|observed_inputs_only+observed_html_table_eusilc_2022_gini_exact_nuts2_join,observed_eurostat_li_no_subnational_gini_hale|observed_eurostat_li_no_subnational_gini_hale+official_regional_silc_2022_after_social_transfers,harmonized_observed,observed_inputs_only|observed_inputs_only+observed_html_table_eusilc_2022_gini_exact_nuts2_join,observed source,inputs use the labelled source family shown in the provenance fields,,,
gdl_shdi_aze_levelx_v3,modelled_hale_experimental,Azerbaijan / GDL SHDI level x,AZE,Azerbaijan,gdl_level_x,10,290,1995,2023,2023.0,290,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_aze_levelx_v3,official_clean,Azerbaijan / GDL SHDI level x,AZE,Azerbaijan,gdl_level_x,10,290,1995,2023,2023.0,290,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bgd_levelx_v3,modelled_hale_experimental,Bangladesh / GDL SHDI level x,BGD,Bangladesh,gdl_level_x,23,782,1990,2023,2023.0,782,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bgd_levelx_v3,official_clean,Bangladesh / GDL SHDI level x,BGD,Bangladesh,gdl_level_x,23,782,1990,2023,2023.0,782,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_brb_levelx_v3,modelled_hale_experimental,Barbados / GDL SHDI level x,BRB,Barbados,gdl_level_x,4,136,1990,2023,2023.0,136,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_brb_levelx_v3,official_clean,Barbados / GDL SHDI level x,BRB,Barbados,gdl_level_x,4,136,1990,2023,2023.0,136,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_blr_levelx_v3,modelled_hale_experimental,Belarus / GDL SHDI level x,BLR,Belarus,gdl_level_x,6,174,1995,2023,2023.0,174,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_blr_levelx_v3,official_clean,Belarus / GDL SHDI level x,BLR,Belarus,gdl_level_x,6,174,1995,2023,2023.0,174,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
eu_nuts2_bel_v1,extended_experimental,Belgium / EU NUTS2 pilot,BEL,Belgium,nuts2,11,275,2000,2024,2024.0,242,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,harmonized_observed,observed_inputs_only,observed source,inputs use the labelled source family shown in the provenance fields,,,
eu_nuts2_bel_v1,modelled_hale_experimental,Belgium / EU NUTS2 pilot,BEL,Belgium,nuts2,11,275,2000,2024,2024.0,242,0,44,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total|eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+bel_sciensano_hly_age15_region_shiny,observed_inputs_only|observed_inputs_only+sciensano_hly_age15_sex_average_broader_region_to_nuts2,observed_eurostat_li_no_subnational_gini_hale|observed_eurostat_li_no_subnational_gini_hale+official_hle_age15_proxy_broader_region_assignment,harmonized_observed|harmonized_observed|official_observed|proxy_observed,observed_inputs_only|observed_inputs_only+sciensano_hly_age15_broader_region_proxy,observed source|HLE age-15 proxy|geography proxy,"inputs use the labelled source family shown in the provenance fields|Belgium HLI uses Sciensano healthy life years at age 15, not HALE at birth. Flanders and Wallonia are broader subnational regions assigned to their component NUTS2 provinces; Brussels is exact. This is a transparent HLE proxy and is not directly comparable to at-birth HALE rows.",,2018.0,
eu_nuts2_bel_v1,official_clean,Belgium / EU NUTS2 pilot,BEL,Belgium,nuts2,11,275,2000,2024,2024.0,242,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,harmonized_observed,observed_inputs_only,observed source,inputs use the labelled source family shown in the provenance fields,,,
gdl_shdi_blz_levelx_v3,modelled_hale_experimental,Belize / GDL SHDI level x,BLZ,Belize,gdl_level_x,4,136,1990,2023,2023.0,136,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_blz_levelx_v3,official_clean,Belize / GDL SHDI level x,BLZ,Belize,gdl_level_x,4,136,1990,2023,2023.0,136,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_ben_levelx_v3,modelled_hale_experimental,Benin / GDL SHDI level x,BEN,Benin,gdl_level_x,6,204,1990,2023,2023.0,204,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_ben_levelx_v3,official_clean,Benin / GDL SHDI level x,BEN,Benin,gdl_level_x,6,204,1990,2023,2023.0,204,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_btn_levelx_v3,modelled_hale_experimental,Bhutan / GDL SHDI level x,BTN,Bhutan,gdl_level_x,20,380,2005,2023,2023.0,380,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_btn_levelx_v3,official_clean,Bhutan / GDL SHDI level x,BTN,Bhutan,gdl_level_x,20,380,2005,2023,2023.0,380,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bol_levelx_v3,modelled_hale_experimental,Bolivia / GDL SHDI level x,BOL,Bolivia,gdl_level_x,9,306,1990,2023,2023.0,306,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bol_levelx_v3,official_clean,Bolivia / GDL SHDI level x,BOL,Bolivia,gdl_level_x,9,306,1990,2023,2023.0,306,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bih_levelx_v3,modelled_hale_experimental,Bosnia and Herzegovina / GDL SHDI level x,BIH,Bosnia and Herzegovina,gdl_level_x,5,120,2000,2023,2023.0,120,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bih_levelx_v3,official_clean,Bosnia and Herzegovina / GDL SHDI level x,BIH,Bosnia and Herzegovina,gdl_level_x,5,120,2000,2023,2023.0,120,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bwa_levelx_v3,modelled_hale_experimental,Botswana / GDL SHDI level x,BWA,Botswana,gdl_level_x,10,340,1990,2023,2023.0,340,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bwa_levelx_v3,official_clean,Botswana / GDL SHDI level x,BWA,Botswana,gdl_level_x,10,340,1990,2023,2023.0,340,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bra_levelx_v3,modelled_hale_experimental,Brazil / GDL SHDI level x,BRA,Brazil,gdl_level_x,27,918,1990,2023,2023.0,918,0,918,0,gdl_shdi_lgnic_lifexp_v9+ihme_gbd_2023_subnational_hale_modelled,gdl_lgnic_income_proxy_plus_gdl_lifexp+modelled_ihme_gbd_hale_age22_all_ages_subnational_bridge,proxy_observed_gdl_income_proxy+ihme_modelled_hale_age_id_22_all_ages_metric_years_subnational_bridge,proxy_observed|modelled,gdl_shdi_lgnic_lifexp+modelled_ihme_gbd_hale_age22_all_ages_subnational_bridge,GDL income proxy|IHME modelled HALE,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy|HALE is IHME/GBD modelled subnational HALE joined through a documented region bridge,,2023.0,
gdl_shdi_bra_levelx_v3,official_clean,Brazil / GDL SHDI level x,BRA,Brazil,gdl_level_x,27,918,1990,2023,2023.0,918,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
eu_nuts2_bgr_v1,extended_experimental,Bulgaria / EU NUTS2 pilot,BGR,Bulgaria,nuts2,6,150,2000,2024,2024.0,150,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,harmonized_observed,observed_inputs_only,observed source,inputs use the labelled source family shown in the provenance fields,,,
eu_nuts2_bgr_v1,modelled_hale_experimental,Bulgaria / EU NUTS2 pilot,BGR,Bulgaria,nuts2,6,150,2000,2024,2024.0,150,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,harmonized_observed,observed_inputs_only,observed source,inputs use the labelled source family shown in the provenance fields,,,
eu_nuts2_bgr_v1,official_clean,Bulgaria / EU NUTS2 pilot,BGR,Bulgaria,nuts2,6,150,2000,2024,2024.0,150,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,harmonized_observed,observed_inputs_only,observed source,inputs use the labelled source family shown in the provenance fields,,,
gdl_shdi_bfa_levelx_v3,modelled_hale_experimental,Burkina Faso / GDL SHDI level x,BFA,Burkina Faso,gdl_level_x,13,312,2000,2023,2023.0,312,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_bfa_levelx_v3,official_clean,Burkina Faso / GDL SHDI level x,BFA,Burkina Faso,gdl_level_x,13,312,2000,2023,2023.0,312,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
